show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00000,Movie,Title 0,Director D,"Actor X, Actor Y",United Kingdom,2020-07-22 14:20:51,1954,TV-PG,30 min,Action,Sample description of the content.
s00001,TV Show,Title 1,Director C,"Actor M, Actor N",United Kingdom,2022-06-03 21:53:37,1991,TV-MA,14 Seasons,Documentary,Sample description of the content.
s00002,Movie,Title 2,Director B,"Actor X, Actor Y",South Korea,2023-03-04 12:17:51,2010,NC-17,84 min,Action,Sample description of the content.
s00003,Movie,Title 3,Director A,"Actor M, Actor N",United States,2020-02-24 13:31:46,1971,TV-MA,113 min,Comedy,Sample description of the content.
s00004,Movie,Title 4,Director B,"Actor X, Actor Y",South Korea,2021-08-28 11:14:33,1970,TV-PG,25 min,Action,Sample description of the content.
s00005,TV Show,Title 5,Director B,"Actor M, Actor N",United Kingdom,2022-07-20 10:01:43,2019,PG,8 Seasons,Drama,Sample description of the content.
s00006,Movie,Title 6,Director A,"Actor M, Actor N",South Korea,2023-02-19 00:01:19,1950,TV-MA,88 min,Sci-Fi,Sample description of the content.
s00007,Movie,Title 7,Director B,"Actor M, Actor N",Canada,2021-01-09 15:04:55,1954,G,14 min,Action,Sample description of the content.
s00008,Movie,Title 8,Director C,"Actor M, Actor N",South Korea,2017-12-03 11:14:55,1961,R,154 min,Romance,Sample description of the content.
s00009,TV Show,Title 9,Director D,"Actor M, Actor N",Japan,2020-01-02 05:02:21,1995,PG-13,6 Seasons,Drama,Sample description of the content.
s00010,Movie,Title 10,Director A,"Actor A, Actor B",South Korea,2023-08-04 10:07:00,1983,TV-MA,150 min,Documentary,Sample description of the content.
s00011,Movie,Title 11,Director D,"Actor M, Actor N",Japan,2022-03-23 09:49:12,1998,R,176 min,Romance,Sample description of the content.
s00012,Movie,Title 12,Director C,"Actor A, Actor B",United States,2020-04-17 09:43:45,1994,TV-14,83 min,Comedy,Sample description of the content.
s00013,Movie,Title 13,Director A,"Actor M, Actor N",United Kingdom,2020-12-17 15:52:41,1976,R,110 min,Sci-Fi,Sample description of the content.
s00014,TV Show,Title 14,Director D,"Actor A, Actor B",India,2022-08-25 17:08:01,2022,PG-13,3 Seasons,Comedy,Sample description of the content.
s00015,Movie,Title 15,Director D,"Actor A, Actor B",India,2020-03-08 18:55:42,1975,R,131 min,Sci-Fi,Sample description of the content.
s00016,TV Show,Title 16,Director C,"Actor X, Actor Y",United Kingdom,2021-11-02 13:46:51,1996,TV-PG,10 Seasons,Sci-Fi,Sample description of the content.
s00017,TV Show,Title 17,Director D,"Actor M, Actor N",India,2018-12-04 21:26:06,2005,NC-17,3 Seasons,Comedy,Sample description of the content.
s00018,TV Show,Title 18,Director C,"Actor X, Actor Y",South Korea,2021-09-12 06:51:29,2012,PG-13,9 Seasons,Romance,Sample description of the content.
s00019,Movie,Title 19,Director B,"Actor X, Actor Y",United States,2017-11-27 14:04:30,1997,NC-17,28 min,Romance,Sample description of the content.
s00020,TV Show,Title 20,Director C,"Actor M, Actor N",United States,2022-08-18 03:46:00,2010,PG,4 Seasons,Sci-Fi,Sample description of the content.
s00021,Movie,Title 21,Director B,"Actor X, Actor Y",United Kingdom,2020-08-03 12:01:58,1975,NC-17,173 min,Romance,Sample description of the content.
s00022,TV Show,Title 22,Director A,"Actor M, Actor N",India,2021-12-12 00:09:46,1985,TV-14,7 Seasons,Sci-Fi,Sample description of the content.
s00023,TV Show,Title 23,Director D,"Actor X, Actor Y",South Korea,2021-10-14 19:22:58,1950,TV-PG,14 Seasons,Sci-Fi,Sample description of the content.
s00024,TV Show,Title 24,Director C,"Actor M, Actor N",United States,2019-03-23 15:38:14,1957,PG,9 Seasons,Drama,Sample description of the content.
s00025,TV Show,Title 25,Director C,"Actor M, Actor N",United States,2020-10-24 21:56:29,2001,R,11 Seasons,Horror,Sample description of the content.
s00026,TV Show,Title 26,Director D,"Actor M, Actor N",Canada,2019-12-31 23:57:41,1996,PG-13,12 Seasons,Drama,Sample description of the content.
s00027,TV Show,Title 27,Director D,"Actor A, Actor B",Canada,2023-05-08 21:27:08,2005,TV-14,7 Seasons,Comedy,Sample description of the content.
s00028,TV Show,Title 28,Director A,"Actor X, Actor Y",United States,2022-08-04 05:10:03,1963,TV-PG,9 Seasons,Horror,Sample description of the content.
s00029,TV Show,Title 29,Director A,"Actor A, Actor B",United Kingdom,2020-11-04 16:33:44,1977,PG,12 Seasons,Action,Sample description of the content.
s00030,Movie,Title 30,Director C,"Actor X, Actor Y",Japan,2018-04-24 07:50:24,1951,PG,19 min,Comedy,Sample description of the content.
s00031,Movie,Title 31,Director A,"Actor X, Actor Y",Japan,2022-04-02 17:00:34,1975,TV-14,175 min,Documentary,Sample description of the content.
s00032,TV Show,Title 32,Director B,"Actor X, Actor Y",South Korea,2023-01-28 08:19:02,1963,G,4 Seasons,Drama,Sample description of the content.
s00033,TV Show,Title 33,Director A,"Actor A, Actor B",United States,2019-10-21 01:41:11,2008,R,14 Seasons,Romance,Sample description of the content.
s00034,TV Show,Title 34,Director A,"Actor X, Actor Y",United States,2018-07-10 16:17:22,2005,TV-14,8 Seasons,Drama,Sample description of the content.
s00035,Movie,Title 35,Director C,"Actor A, Actor B",United States,2020-06-26 11:04:49,1956,PG,166 min,Romance,Sample description of the content.
s00036,TV Show,Title 36,Director B,"Actor M, Actor N",United Kingdom,2023-06-09 01:30:30,1952,TV-MA,5 Seasons,Horror,Sample description of the content.
s00037,Movie,Title 37,Director A,"Actor X, Actor Y",Canada,2020-08-13 01:56:43,1972,TV-PG,61 min,Documentary,Sample description of the content.
s00038,Movie,Title 38,Director B,"Actor X, Actor Y",United States,2023-08-29 14:53:15,1967,TV-14,164 min,Horror,Sample description of the content.
s00039,Movie,Title 39,Director B,"Actor M, Actor N",United States,2023-07-13 10:49:31,1987,G,168 min,Documentary,Sample description of the content.
s00040,Movie,Title 40,Director B,"Actor M, Actor N",India,2019-09-10 12:06:18,1964,PG,30 min,Drama,Sample description of the content.
s00041,Movie,Title 41,Director D,"Actor X, Actor Y",United Kingdom,2020-04-08 20:56:50,2013,R,9 min,Romance,Sample description of the content.
s00042,TV Show,Title 42,Director D,"Actor M, Actor N",South Korea,2020-07-05 23:41:15,1977,NC-17,1 Seasons,Horror,Sample description of the content.
s00043,TV Show,Title 43,Director D,"Actor A, Actor B",United States,2018-04-12 04:33:55,2023,PG,8 Seasons,Documentary,Sample description of the content.
s00044,TV Show,Title 44,Director D,"Actor A, Actor B",India,2020-03-19 06:03:16,1988,R,4 Seasons,Sci-Fi,Sample description of the content.
s00045,TV Show,Title 45,Director C,"Actor X, Actor Y",Japan,2018-02-25 07:41:13,2006,TV-14,9 Seasons,Comedy,Sample description of the content.
s00046,TV Show,Title 46,Director A,"Actor A, Actor B",South Korea,2019-08-05 15:04:02,1966,R,14 Seasons,Comedy,Sample description of the content.
s00047,Movie,Title 47,Director D,"Actor A, Actor B",United States,2019-07-29 03:17:53,1993,PG-13,53 min,Horror,Sample description of the content.
s00048,TV Show,Title 48,Director C,"Actor X, Actor Y",United States,2021-03-30 23:08:46,1974,PG-13,3 Seasons,Romance,Sample description of the content.
s00049,TV Show,Title 49,Director A,"Actor M, Actor N",India,2023-02-02 05:06:42,1966,PG-13,9 Seasons,Sci-Fi,Sample description of the content.
s00050,Movie,Title 50,Director D,"Actor X, Actor Y",United Kingdom,2020-07-18 22:11:51,1962,G,187 min,Horror,Sample description of the content.
s00051,TV Show,Title 51,Director A,"Actor A, Actor B",United States,2021-04-23 01:09:32,1974,G,14 Seasons,Drama,Sample description of the content.
s00052,Movie,Title 52,Director D,"Actor X, Actor Y",Japan,2020-03-15 00:18:30,2017,TV-MA,41 min,Documentary,Sample description of the content.
s00053,TV Show,Title 53,Director C,"Actor X, Actor Y",United States,2018-05-10 23:17:15,1959,G,4 Seasons,Drama,Sample description of the content.
s00054,Movie,Title 54,Director B,"Actor A, Actor B",Japan,2018-12-04 00:23:43,2016,NC-17,68 min,Comedy,Sample description of the content.
s00055,TV Show,Title 55,Director B,"Actor A, Actor B",South Korea,2018-08-05 23:32:43,1967,TV-14,12 Seasons,Documentary,Sample description of the content.
s00056,TV Show,Title 56,Director A,"Actor X, Actor Y",South Korea,2020-02-09 15:09:22,1983,PG,8 Seasons,Horror,Sample description of the content.
s00057,Movie,Title 57,Director C,"Actor A, Actor B",Canada,2020-05-23 01:47:39,1957,PG,2 min,Drama,Sample description of the content.
s00058,Movie,Title 58,Director B,"Actor A, Actor B",Canada,2018-08-16 06:43:57,1989,TV-MA,105 min,Action,Sample description of the content.
s00059,Movie,Title 59,Director D,"Actor A, Actor B",Japan,2019-01-15 19:53:43,1991,G,125 min,Romance,Sample description of the content.
s00060,Movie,Title 60,Director B,"Actor A, Actor B",United Kingdom,2022-02-15 04:11:23,1990,NC-17,110 min,Sci-Fi,Sample description of the content.
s00061,Movie,Title 61,Director A,"Actor A, Actor B",United States,2023-05-05 10:04:38,1955,R,86 min,Sci-Fi,Sample description of the content.
s00062,Movie,Title 62,Director A,"Actor A, Actor B",United States,2019-02-19 08:31:50,2001,TV-MA,169 min,Romance,Sample description of the content.
s00063,Movie,Title 63,Director C,"Actor M, Actor N",Canada,2018-10-18 21:15:01,1975,NC-17,120 min,Action,Sample description of the content.
s00064,Movie,Title 64,Director A,"Actor X, Actor Y",Japan,2018-02-27 20:28:04,2013,R,127 min,Comedy,Sample description of the content.
s00065,TV Show,Title 65,Director B,"Actor A, Actor B",United States,2021-11-22 22:12:55,2008,NC-17,7 Seasons,Documentary,Sample description of the content.
s00066,TV Show,Title 66,Director B,"Actor X, Actor Y",United States,2017-11-18 21:00:04,2005,R,13 Seasons,Romance,Sample description of the content.
s00067,Movie,Title 67,Director B,"Actor M, Actor N",United Kingdom,2022-03-04 11:50:00,2008,TV-PG,62 min,Action,Sample description of the content.
s00068,TV Show,Title 68,Director B,"Actor A, Actor B",India,2020-05-13 20:23:28,2019,NC-17,1 Seasons,Horror,Sample description of the content.
